,Fecha,Hora,Comuna,Accdtes.,Causas,Muertos,Graves,M/Grave,Leves,Ilesos,Urbano/Rural,Calleuno,Calledos,Frentenumero,Ruta,Ubicación km,Latitud,Longitud,Direccion
16148,16/09/2021,19:50,ALTO HOSPICIO,Colisión,Conducción en estado de ebriedad,0,0,0,2,1,URBANO,RICARDO LAGOS,LOS CONQUISTADORES,,,,-20.2686722,-70.1049169,"ALTO HOSPICIO, RICARDO LAGOS, LOS CONQUISTADORES"
16149,16/09/2021,21:00,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,0,2,URBANO,ZEGERS,21 DE MAYO,,,,-20.2178506,-70.1419968,"IQUIQUE, ZEGERS, 21 DE MAYO"
16150,17/09/2021,1:00,IQUIQUE,Volcadura,Causas no determinadas,0,0,0,2,0,URBANO,DIEGO PORTALES,PABLO SILVA PIARRO,,,,-20.2306665,-70.1371297,"IQUIQUE, DIEGO PORTALES, PABLO SILVA PIARRO"
16151,17/09/2021,17:30,IQUIQUE,Colisión,Otras causas,0,0,0,0,2,URBANO,GENARO GALLO,LOS JAZMINES,,,,-20.2330181,-70.1378338,"IQUIQUE, GENARO GALLO, LOS JAZMINES"
16152,17/09/2021,22:20,IQUIQUE,Choque,Conducción en estado de ebriedad,0,0,0,0,1,URBANO,HEROES DE LA CONCEPCION,MANUEL BULNES,,,,-20.2199419,-70.1393996,"IQUIQUE, HEROES DE LA CONCEPCION, MANUEL BULNES"
16153,17/09/2021,23:40,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,LA TIRANA,,4310,,,-20.2716164,-70.1258783,"IQUIQUE, LA TIRANA, 4310"
16154,17/09/2021,23:40,IQUIQUE,Choque,Otras causas,0,0,0,0,3,URBANO,AV. LA TIRANA,,4310,,,-20.2716164,-70.1258783,"IQUIQUE, AV. LA TIRANA, 4310"
16155,18/09/2021,1:05,IQUIQUE,Colisión,Conducción en estado de ebriedad,0,0,0,2,0,URBANO,JUAN MARTINEZ,ZEGERS,,,,-20.2307033,-70.1356692,"IQUIQUE, JUAN MARTINEZ, ZEGERS"
16156,18/09/2021,1:34,IQUIQUE,Choque,Otras causas,0,0,0,0,2,URBANO,LOS JAZMINES,,1839,,,-20.2325374,-70.1396366,"IQUIQUE, LOS JAZMINES, 1839"
16157,18/09/2021,3:03,IQUIQUE,Choque,Causas no determinadas,0,0,0,0,1,URBANO,SAN MARTIN,OBISPO LABBE,,,,-20.2158511,-70.1502751,"IQUIQUE, SAN MARTIN, OBISPO LABBE"
16158,18/09/2021,7:30,ALTO HOSPICIO,Choque,Conducción en estado de ebriedad,0,0,0,0,1,URBANO,TOMAS LAURA VICUÑA,,107,,,-20.2686722,-70.1049169,"ALTO HOSPICIO, TOMAS LAURA VICUÑA, 107"
16159,18/09/2021,13:00,IQUIQUE,Colisión,"Señalización, desobedecer luz roja de semáforo",0,0,0,2,2,URBANO,ARTURO FERNANDEZ,OHIGGINS,,,,-20.2187948,-70.1443066,"IQUIQUE, ARTURO FERNANDEZ, OHIGGINS"
16160,18/09/2021,18:30,IQUIQUE,Choque,Otras causas,0,0,0,1,2,URBANO,EJERCITO,HECTOR DAVILA,,,,-20.2355255,-70.1357594,"IQUIQUE, EJERCITO, HECTOR DAVILA"
16161,18/09/2021,22:30,IQUIQUE,Choque,Causas no determinadas,0,0,0,0,2,URBANO,ATURO PRAT,TADEO HAENKE,,,,-20.2404198,-70.1372473,"IQUIQUE, ATURO PRAT, TADEO HAENKE"
16162,18/09/2021,23:30,ALTO HOSPICIO,Choque,Causas no determinadas,0,0,0,1,1,URBANO,LAS PARCELAS,VITERBO ACEITUNO,,,,-20.2686722,-70.1049169,"ALTO HOSPICIO, LAS PARCELAS, VITERBO ACEITUNO"
16163,19/09/2021,0:00,ALTO HOSPICIO,Colisión,Causas no determinadas,0,0,1,0,2,URBANO,LAS PARCELAS,ANGEL PRIETO,,,,-20.2754204,-70.0909824,"ALTO HOSPICIO, LAS PARCELAS, ANGEL PRIETO"
16164,19/09/2021,6:00,IQUIQUE,Choque,Causas no determinadas,0,0,0,0,2,URBANO,COLO COLO,,1913,,,-20.2272589,-70.1369492,"IQUIQUE, COLO COLO, 1913"
16165,19/09/2021,11:40,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,0,2,URBANO,ARTUR PEREZ CANTO,TOMAS BONILLA,,,,-20.2277543,-70.1383159,"IQUIQUE, ARTUR PEREZ CANTO, TOMAS BONILLA"
16166,19/09/2021,16:20,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,0,2,URBANO,COLO COLO,JOSE MIGUEL CARRERA,,,,-20.2268682,-70.1367544,"IQUIQUE, COLO COLO, JOSE MIGUEL CARRERA"
16167,20/09/2021,6:55,IQUIQUE,Colisión,Otras causas,0,0,0,1,3,URBANO,AV. ARTURO PRAT,SANTIAGO POLANCO,,,,-20.2486089,-70.1382111,"IQUIQUE, AV. ARTURO PRAT, SANTIAGO POLANCO"
16168,20/09/2021,8:10,IQUIQUE,Colisión,Otras causas,0,0,0,2,0,URBANO,AV. TADEO HAENKE,FRANCISCO VERGARA,,,,-20.2409125,-70.1360827,"IQUIQUE, AV. TADEO HAENKE, FRANCISCO VERGARA"
16169,20/09/2021,8:40,ALTO HOSPICIO,Choque,Conducción en estado de ebriedad,0,0,0,1,0,URBANO,AVENIDA UNO,,3339,,,-20.2582799,-70.1052355,"ALTO HOSPICIO, AVENIDA UNO, 3339"
16170,20/09/2021,9:00,IQUIQUE,Choque,Otras causas,0,0,0,0,2,URBANO,AV. SALVADOR ALLENDE,PLAYA EL AGUILA,,,,-20.25145,-70.1319383,"IQUIQUE, AV. SALVADOR ALLENDE, PLAYA EL AGUILA"
16171,20/09/2021,11:10,ALTO HOSPICIO,Colisión,Conducción no atento condiciones transito momento,0,0,0,6,0,URBANO,CALLE SIETE,CALLE SETENTA Y SIETE,,,,-20.2944257,-70.1017501,"ALTO HOSPICIO, CALLE SIETE, CALLE SETENTA Y SIETE"
16172,20/09/2021,11:25,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,ARTURO PRAT,SOTOMAYOR,,,,-20.2109307,-70.1514957,"IQUIQUE, ARTURO PRAT, SOTOMAYOR"
16173,20/09/2021,12:00,IQUIQUE,Choque,Otras causas,0,0,0,0,2,URBANO,AV. DIEGO PORTALES,SALVADOR ALLENDE,,,,-20.2306665,-70.1371297,"IQUIQUE, AV. DIEGO PORTALES, SALVADOR ALLENDE"
16174,20/09/2021,13:15,IQUIQUE,Choque,Otras causas,0,0,0,0,2,URBANO,AV. AEROPUERTO,AV. TADEO HAENKE,,,,-20.2404198,-70.1372473,"IQUIQUE, AV. AEROPUERTO, AV. TADEO HAENKE"
16175,20/09/2021,13:30,ALTO HOSPICIO,Atropello,Peatón permanece sobre la calzada,0,0,0,1,1,URBANO,GABRIELA MISTRAL,CALETERA A-16,,,,-20.2671328,-70.0874421,"ALTO HOSPICIO, GABRIELA MISTRAL, CALETERA A-16"
16176,20/09/2021,13:35,ALTO HOSPICIO,Choque,Carga sobresale estructura vehiculo,0,0,0,0,1,URBANO,LAS AMERICAS,PANAMA,,,,-20.2686722,-70.1049169,"ALTO HOSPICIO, LAS AMERICAS, PANAMA"
16177,20/09/2021,19:45,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,BARROS ARANA,,1167,,,-20.2191154,-70.1477532,"IQUIQUE, BARROS ARANA, 1167"
16178,21/09/2021,5:30,ALTO HOSPICIO,Choque,Causas no determinadas,0,0,0,0,1,URBANO,PASAJE DOS,,3329,,,-20.256397,-70.1069519,"ALTO HOSPICIO, PASAJE DOS, 3329"
16179,21/09/2021,8:20,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,ORELLA,JUAN MARTINEZ,,,,-20.2206842,-70.1455402,"IQUIQUE, ORELLA, JUAN MARTINEZ"
16180,21/09/2021,8:35,IQUIQUE,Choque,Causas no determinadas,0,0,0,0,2,URBANO,SERRANO,,872,,,-20.2135418,-70.1464707,"IQUIQUE, SERRANO, 872"
16181,21/09/2021,8:40,IQUIQUE,Choque,Causas no determinadas,0,0,0,0,2,URBANO,SERRANO,,826,,,-20.2136237,-70.1468406,"IQUIQUE, SERRANO, 826"
16182,21/09/2021,9:25,IQUIQUE,Colisión,Otras causas,0,0,0,1,1,URBANO,AV. SANTIAGO POLANCO,RANCAGUA,,,,-20.2464084,-70.131271,"IQUIQUE, AV. SANTIAGO POLANCO, RANCAGUA"
16183,21/09/2021,13:15,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,OHIGGINS,ROTONDA EL PAMPINO,,,,-20.2208561,-70.1319844,"IQUIQUE, OHIGGINS, ROTONDA EL PAMPINO"
16184,21/09/2021,14:50,IQUIQUE,Choque,Otras causas,0,0,0,0,2,URBANO,TADEO HAENKE,AV. ARTURO PRAT,,,,-20.2404198,-70.1372473,"IQUIQUE, TADEO HAENKE, AV. ARTURO PRAT"
16185,21/09/2021,16:00,ALTO HOSPICIO,Choque,"Fallas mecánicas, frenos",0,0,0,0,2,URBANO,SANTA PAULA,SANTA INES,,,,-20.2784305,-70.0934975,"ALTO HOSPICIO, SANTA PAULA, SANTA INES"
16186,21/09/2021,16:10,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,THOMPSON,LUIS CRUZ MARTINEZ,,,,-20.2155912,-70.1383408,"IQUIQUE, THOMPSON, LUIS CRUZ MARTINEZ"
16187,22/09/2021,2:10,IQUIQUE,Choque,Velocidad no razonable ni prudente,0,0,0,2,0,URBANO,ARTURO PRAT,AMUNATEGUI,,,,-20.2067534,-70.1452669,"IQUIQUE, ARTURO PRAT, AMUNATEGUI"
16188,22/09/2021,12:20,IQUIQUE,Choque,Otras causas,0,0,0,0,3,URBANO,PSJE NEBRASKA,,3198,,,-20.2414367,-70.1342598,"IQUIQUE, PSJE NEBRASKA, 3198"
16189,22/09/2021,20:00,IQUIQUE,Colisión,Causas no determinadas,0,0,0,1,1,URBANO,ARTURO PRAT,AMUNATEGUI,,,,-20.2067534,-70.1452669,"IQUIQUE, ARTURO PRAT, AMUNATEGUI"
16190,23/09/2021,8:40,IQUIQUE,Colisión,"Señalización, desobedecer luz roja de semáforo",0,0,0,1,1,URBANO,TARAPACA,BARROS ARANA,,,,-20.2175833,-70.1474318,"IQUIQUE, TARAPACA, BARROS ARANA"
